date,open,high,low,close,volume,amount
1993-01-03,3.1,3.3,3.1,3.3,14639100.0,317112800.0
1993-01-04,10.1,10.4,9.9,10.1,39052600.0,714883904.0
1993-01-05,16.1,16.8,16.0,16.5,43881900.0,727783680.0
1993-01-06,22.0,22.5,21.3,21.8,43533100.0,716964288.0
1993-01-07,25.3,25.9,25.0,25.8,34719600.0,580859840.0
1993-01-08,31.8,32.9,31.4,32.4,50104900.0,932122944.0
1993-01-11,41.2,44.2,40.8,43.6,75105296.0,1361538304.0
1993-01-12,51.1,52.6,49.1,50.1,69856096.0,1320057088.0
1993-01-13,52.5,54.7,51.7,54.2,46414600.0,871586560.0
1993-01-14,59.2,61.2,57.7,59.9,64409300.0,1198466432.0
1993-01-15,61.9,62.9,59.3,60.9,47344700.0,918612928.0
1993-01-18,63.0,65.0,61.9,63.6,40539200.0,864689856.0
1993-01-19,66.8,68.2,63.4,64.4,45752200.0,1017079488.0
1993-01-20,63.0,66.7,62.6,65.6,19483900.0,366491136.0
1993-01-21,65.7,67.5,65.1,66.6,24211600.0,448706272.0
1993-01-22,66.5,68.7,65.9,67.4,24898300.0,471406464.0
1993-01-27,69.4,72.5,68.8,71.3,36867600.0,726383872.0
1993-01-28,73.2,75.0,70.8,72.2,37784600.0,748144064.0
1993-01-29,72.9,76.3,72.3,75.3,37250500.0,709970304.0
1993-02-01,82.5,89.0,81.7,87.8,81037600.0,1809180672.0
1993-02-02,94.2,98.2,93.1,96.8,81500304.0,1870953984.0
1993-02-03,101.1,103.2,97.3,100.2,72611600.0,1668296448.0
1993-02-04,104.9,109.2,103.2,108.3,75045504.0,1757051392.0
1993-02-05,114.8,117.5,109.5,112.1,85902200.0,2116953600.0
1993-02-08,117.0,123.2,115.2,121.6,77539904.0,2034457856.0
1993-02-09,128.1,133.6,125.1,129.8,88361200.0,2303973632.0
1993-02-10,136.0,139.1,128.5,131.2,88806200.0,2309390080.0
1993-02-11,134.4,138.4,125.4,128.8,79262496.0,2014210048.0
1993-02-12,130.6,135.1,124.3,132.7,44768500.0,1130298752.0
1993-02-15,138.8,145.6,136.9,142.1,93010304.0,2331483904.0
1993-02-16,143.5,145.7,137.6,139.4,67947000.0,1852122496.0
1993-02-17,138.3,142.7,134.9,139.6,53378800.0,1538408960.0
1993-02-18,140.7,144.6,136.9,140.6,62362100.0,1773350272.0
1993-02-19,149.8,155.1,143.7,152.1,87126200.0,2708779008.0
1993-02-22,156.2,160.6,149.4,152.0,76353296.0,2159402240.0
1993-02-23,150.5,154.4,143.5,146.6,68467904.0,1847765120.0
1993-02-24,149.6,152.1,135.2,141.1,94738096.0,2434531584.0
1993-02-25,143.4,157.0,140.7,155.0,82022496.0,2268717824.0
1993-02-26,157.9,160.9,147.9,150.5,81640096.0,2256047872.0
1993-03-01,148.4,151.2,137.1,139.8,56229500.0,1508262400.0
1993-03-02,136.4,142.4,131.5,136.7,48623000.0,1230159232.0
1993-03-03,131.8,134.3,127.3,128.5,30730000.0,817349312.0
1993-03-04,127.5,130.4,118.3,123.3,46186200.0,1208989440.0
1993-03-05,123.1,127.0,111.6,117.9,64427800.0,1446716928.0
1993-03-08,131.6,143.2,127.0,130.6,94744096.0,2468952576.0
1993-03-09,127.4,129.8,119.8,123.5,48727400.0,1224413312.0
1993-03-10,121.6,130.1,118.1,129.6,49721900.0,1342980096.0
1993-03-11,132.8,136.9,130.3,135.4,70919504.0,1896664704.0
1993-03-12,136.6,138.6,131.7,134.9,63457800.0,1658833152.0
1993-03-15,133.8,134.8,123.7,125.8,45666400.0,1145028480.0
1993-03-16,120.8,125.2,119.0,124.1,34846900.0,781295424.0
1993-03-17,120.0,120.8,115.0,116.3,28905700.0,676539968.0
1993-03-18,111.4,113.7,109.3,111.3,26066300.0,613615104.0
1993-03-19,107.6,109.5,105.4,106.8,32641900.0,678027008.0
1993-03-22,102.0,103.6,94.5,95.9,44572900.0,901395904.0
1993-03-23,94.2,96.5,89.8,91.5,42912600.0,840020352.0
1993-03-24,88.3,90.4,85.7,86.6,28336500.0,577136384.0
1993-03-25,85.4,89.2,82.7,87.7,34016800.0,701182272.0
1993-03-26,91.4,96.1,89.1,94.4,67824096.0,1300408704.0
1993-03-29,92.1,93.4,87.3,89.1,33101200.0,619757888.0
1993-03-30,86.0,88.1,84.0,86.2,28650200.0,526228576.0
1993-03-31,85.3,86.3,82.4,84.2,35471488.0,723683392.0
1993-04-01,81.6,83.3,80.5,82.6,24658300.0,518099104.0
1993-04-02,81.1,82.5,79.8,80.5,30681200.0,636514048.0
1993-04-05,78.8,80.1,77.1,78.9,22198700.0,434052512.0
1993-04-06,79.8,86.8,79.0,85.2,58988000.0,974920704.0
1993-04-07,94.9,103.4,93.2,98.9,111744600.0,2198539776.0
1993-04-08,109.6,119.8,108.2,117.1,124545200.0,2558077440.0
1993-04-09,128.0,133.0,121.8,124.7,121976800.0,2649312512.0
1993-04-12,130.7,136.2,125.6,129.6,87715768.0,2000461824.0
1993-04-13,133.2,141.0,131.0,139.4,94551296.0,2094328832.0
1993-04-14,144.5,148.0,138.1,140.4,104254000.0,2409387264.0
1993-04-15,140.3,144.6,136.2,140.2,81216600.0,1740843008.0
1993-04-16,140.9,143.9,133.4,136.0,90524400.0,2001824512.0
1993-04-19,133.3,138.4,130.5,134.9,66606900.0,1375647872.0
1993-04-20,132.9,136.2,131.0,133.4,57126500.0,1280942336.0
1993-04-21,128.4,129.7,126.0,127.3,36547800.0,774112256.0
1993-04-22,123.1,126.6,121.7,125.4,42794500.0,956322624.0
1993-04-23,125.8,127.5,122.5,123.9,65607500.0,1486624768.0
1993-04-26,130.8,135.3,127.8,133.4,86750000.0,2181308928.0
1993-04-27,137.8,141.2,134.3,137.0,95054896.0,2200023296.0
1993-04-28,136.2,139.2,133.7,136.7,67286896.0,1482734976.0
1993-04-29,134.5,135.9,130.0,131.1,50247000.0,1193209600.0
1993-04-30,128.1,131.3,126.6,129.4,45485700.0,1060682816.0
1993-05-03,128.1,130.0,124.3,126.5,52570300.0,1191673600.0
1993-05-04,128.8,131.9,118.5,121.3,74437296.0,1838426624.0
1993-05-05,118.6,122.8,115.2,118.9,54589100.0,1208224512.0
1993-05-06,120.6,121.3,109.9,113.5,67267000.0,1440953600.0
1993-05-07,114.1,118.2,111.6,116.3,60495900.0,1301463808.0
1993-05-10,115.1,117.2,106.8,108.6,52607700.0,1092556032.0
1993-05-11,105.6,108.0,102.8,106.5,40508200.0,841537600.0
1993-05-12,104.8,107.9,103.7,106.0,41558600.0,878119808.0
1993-05-13,104.4,107.9,103.7,107.3,39179200.0,827170240.0
1993-05-14,106.1,107.5,102.9,104.7,41342600.0,884351680.0
1993-05-17,99.6,101.3,95.0,98.1,30766500.0,599572224.0
1993-05-18,95.1,97.5,92.9,95.1,28800800.0,557213696.0
1993-05-19,90.5,91.6,89.0,90.6,17144100.0,341941056.0
1993-05-20,88.4,89.9,87.4,88.7,27479700.0,580344640.0
1993-05-21,86.2,86.5,83.1,84.2,22877200.0,440542368.0
1993-05-24,85.2,86.1,78.2,79.2,43327200.0,816345600.0
1993-05-25,78.4,80.5,75.8,78.8,42413900.0,755438528.0
1993-05-26,77.6,78.9,75.9,76.6,33554800.0,614445120.0
1993-05-27,75.0,75.7,71.8,73.3,29987300.0,529325408.0
1993-05-28,71.7,73.2,70.8,72.1,28044400.0,490021728.0
1993-05-31,71.3,73.0,69.0,70.6,27606700.0,477578752.0
1993-06-01,69.5,70.8,65.2,69.2,31993200.0,535760256.0
1993-06-02,77.2,86.4,73.9,85.5,102208200.0,1804973312.0
1993-06-03,96.4,102.5,86.0,92.7,130214704.0,2612494592.0
1993-06-04,92.7,94.8,88.7,90.6,61885300.0,1185491072.0
1993-06-07,91.3,96.7,88.5,95.0,47185100.0,952542400.0
1993-06-08,101.2,104.7,97.3,99.7,104779400.0,2050920448.0
1993-06-09,97.2,98.9,93.9,95.6,42277800.0,735779584.0
1993-06-10,93.1,94.5,89.9,91.0,35678800.0,684547200.0
1993-06-11,87.7,89.4,85.1,87.7,33538100.0,636922112.0
1993-06-14,89.1,90.2,83.3,85.3,47448400.0,963076864.0
1993-06-15,81.4,83.4,79.7,82.2,28802100.0,511741376.0
1993-06-16,78.5,79.6,77.0,78.0,18870400.0,326830528.0
1993-06-17,74.5,75.4,73.3,73.8,16930600.0,297062848.0
1993-06-18,71.6,74.0,71.0,73.5,28471200.0,487349440.0
1993-06-21,71.0,72.3,68.5,69.5,36373300.0,572081600.0
1993-06-22,66.2,67.4,65.4,66.3,15952400.0,251656720.0
1993-06-23,63.2,64.1,62.6,63.5,15684000.0,240630688.0
1993-06-24,61.5,62.3,60.3,61.4,23236900.0,359054784.0
1993-06-25,60.5,63.3,59.3,60.6,30440100.0,496065344.0
1993-06-28,60.8,62.2,59.4,61.1,35659800.0,583613888.0
1993-06-29,69.6,72.5,68.2,71.4,84203000.0,1542342784.0
1993-06-30,73.5,75.1,70.3,71.0,61694700.0,1205558016.0
1993-07-01,70.4,71.4,67.8,69.3,51513100.0,819176000.0
1993-07-02,68.6,70.0,66.9,68.6,41031200.0,607191104.0
1993-07-05,68.8,70.5,65.8,66.9,56768900.0,872370368.0
1993-07-06,65.8,66.2,62.6,63.2,43305800.0,638696640.0
1993-07-07,60.9,63.2,59.9,62.3,33307000.0,482945376.0
1993-07-08,59.6,60.5,58.7,59.5,17456200.0,252577440.0
1993-07-09,57.9,58.1,55.4,56.1,26133100.0,372837824.0
1993-07-12,56.5,58.2,54.8,56.6,56409500.0,724716864.0
1993-07-13,56.6,58.0,55.3,56.7,35909900.0,480327136.0
1993-07-14,56.1,56.7,53.2,53.6,37351700.0,562287488.0
1993-07-15,51.7,52.6,50.6,51.3,24285900.0,334369024.0
1993-07-16,50.4,51.1,49.5,50.1,29963300.0,415665024.0
1993-07-19,49.1,49.6,47.1,47.7,31987400.0,389293152.0
1993-07-20,48.1,48.6,45.1,47.1,40275200.0,476299872.0
1993-07-21,47.2,48.0,45.4,46.5,34523400.0,396419424.0
1993-07-22,44.9,45.8,44.0,45.5,20524300.0,233384912.0
1993-07-23,45.3,46.4,44.6,45.8,31157400.0,376013312.0
1993-07-26,46.2,46.6,44.3,45.0,31989400.0,420076096.0
1993-07-27,45.2,47.1,44.5,46.4,34642500.0,449815424.0
1993-07-28,52.3,55.0,51.6,52.8,81592096.0,1026378752.0
1993-07-29,54.8,56.3,53.1,55.4,54524000.0,653956032.0
1993-07-30,67.1,73.1,66.4,71.0,175882704.0,2158663680.0
1993-08-02,84.1,87.0,79.2,80.1,158115104.0,2039491200.0
1993-08-03,79.1,81.4,77.0,77.8,57992100.0,733287744.0
1993-08-04,75.2,78.1,74.3,77.1,41060000.0,526358272.0
1993-08-05,77.8,79.7,76.3,78.3,66861800.0,887047168.0
1993-08-06,79.8,81.4,78.4,79.7,74611800.0,938839232.0
1993-08-09,86.3,91.1,85.4,90.4,137263392.0,1836548096.0
1993-08-10,102.2,105.4,98.1,99.4,208898800.0,2654961152.0
1993-08-11,100.1,104.8,99.4,104.4,97313800.0,1258284160.0
1993-08-12,115.0,118.6,113.3,117.8,180995104.0,2420393472.0
1993-08-13,130.1,134.2,127.8,132.6,199114096.0,2861820672.0
1993-08-16,149.7,161.5,148.5,160.6,246810096.0,3807411968.0
1993-08-17,176.7,182.1,156.2,158.6,250104304.0,3940798464.0
1993-08-18,160.1,170.1,155.4,159.9,144944304.0,2197789696.0
1993-08-19,157.2,161.5,152.1,155.8,96082200.0,1435862784.0
1993-08-20,152.4,153.5,145.0,148.1,90546496.0,1313806848.0
1993-08-23,140.5,141.6,132.1,133.2,94452600.0,1310116096.0
1993-08-24,131.0,143.0,128.1,141.9,107860896.0,1522597504.0
1993-08-25,140.8,142.2,135.1,137.1,91676096.0,1329164160.0
1993-08-26,130.1,133.0,127.5,129.6,42263700.0,598563712.0
1993-08-27,127.0,128.8,122.9,124.4,69029400.0,968127168.0
1993-08-30,118.5,123.4,114.9,120.8,47404860.0,649717632.0
1993-08-31,115.6,118.3,114.5,115.8,38049000.0,535813632.0
1993-09-01,110.5,111.2,107.4,108.0,31041900.0,420575872.0
1993-09-02,101.7,103.5,101.0,102.4,24183500.0,323829792.0
1993-09-03,100.1,103.5,99.2,102.6,48784020.0,672156864.0
1993-09-06,102.8,105.2,100.3,102.2,64573100.0,907960832.0
1993-09-07,98.4,99.5,95.4,96.3,40081600.0,564091200.0
1993-09-08,93.5,94.5,90.2,92.9,44300500.0,563909696.0
1993-09-09,89.3,90.5,87.8,88.7,30972900.0,441307552.0
1993-09-10,85.6,86.4,83.9,84.7,33387300.0,435330272.0
1993-09-13,82.4,82.7,79.8,80.5,49080500.0,631582464.0
1993-09-14,76.7,78.6,75.8,77.6,29069800.0,368440416.0
1993-09-15,74.2,75.0,73.1,73.5,24212600.0,305384608.0
1993-09-16,70.4,71.4,69.3,69.8,25308500.0,316278144.0
1993-09-17,69.0,70.3,67.9,68.8,13425200.0,165461392.0
1993-09-20,68.7,72.0,67.9,71.4,56073260.0,696020544.0
1993-09-21,72.8,74.9,71.6,72.5,66439900.0,837255360.0
1993-09-22,69.6,70.7,68.9,70.0,26513030.0,326430688.0
1993-09-23,69.3,70.1,68.5,68.8,41631400.0,522539264.0
1993-09-24,70.4,73.1,67.2,69.8,73871600.0,943408832.0
1993-09-27,65.3,66.6,64.8,65.8,28808100.0,369450592.0
1993-09-28,66.0,67.0,65.5,66.7,50226800.0,592329152.0
1993-09-29,67.7,69.1,66.4,67.5,60034700.0,690765568.0
1993-09-30,68.5,71.0,66.4,68.9,61876800.0,766798080.0
1993-10-04,72.0,73.4,71.0,72.2,70530000.0,906083520.0
1993-10-05,74.4,75.4,72.5,73.4,72866200.0,921645440.0
1993-10-06,73.0,75.6,71.8,74.0,54638200.0,788126976.0
1993-10-07,86.9,102.1,85.6,92.3,174568096.0,3605932288.0
1993-10-08,99.8,102.2,90.0,91.5,132086296.0,2451143168.0
1993-10-11,90.2,92.4,87.4,89.4,69011304.0,1178394752.0
1993-10-12,87.0,88.9,85.2,86.5,53659124.0,861177024.0
1993-10-13,85.9,86.9,81.4,82.5,70611096.0,945925504.0
1993-10-14,79.6,81.1,78.2,79.8,49018508.0,685860800.0
1993-10-15,77.0,78.1,75.9,76.7,34968300.0,478167040.0
1993-10-18,75.2,75.7,72.6,73.2,58701448.0,697360320.0
1993-10-19,73.0,75.3,71.9,73.8,62201680.0,724319360.0
1993-10-20,73.7,74.8,72.2,73.4,69311656.0,854178688.0
1993-10-21,72.8,75.1,71.2,73.6,77136072.0,1171195008.0
1993-10-22,74.5,77.6,70.5,71.7,118163952.0,2167997440.0
1993-10-25,71.1,74.0,68.2,72.1,93389984.0,1366640640.0
1993-10-26,75.0,79.4,72.1,76.6,111657832.0,2014907520.0
1993-10-27,82.7,84.7,77.4,79.1,112977864.0,2008787584.0
1993-10-28,86.0,91.3,83.7,89.1,138679936.0,1867022080.0
1993-10-29,94.0,95.6,89.4,91.4,126907792.0,1730587008.0
1993-11-01,90.6,93.6,89.6,91.8,68373472.0,1135816832.0
1993-11-02,90.4,92.0,88.4,89.9,60659148.0,955878656.0
1993-11-03,87.2,88.1,85.0,85.8,51265312.0,786384128.0
1993-11-04,83.1,84.3,80.8,82.5,48088784.0,750887872.0
1993-11-05,80.7,82.1,79.5,81.3,49678780.0,667558016.0
1993-11-08,88.2,91.4,86.6,90.0,134370800.0,1683526144.0
1993-11-09,91.7,92.7,88.8,90.4,102726736.0,1254722304.0
1993-11-10,103.4,119.9,98.5,108.7,199567168.0,3243600640.0
1993-11-11,120.2,124.7,117.2,120.4,201135792.0,3208051456.0
1993-11-12,131.4,135.2,124.2,132.7,195285056.0,2811586816.0
1993-11-15,147.3,154.0,146.0,149.2,258139296.0,3473192192.0
1993-11-16,153.4,156.5,148.9,151.6,184051984.0,2454191104.0
1993-11-17,153.4,158.3,151.7,154.7,158877920.0,2055274880.0
1993-11-18,166.3,170.6,163.2,167.0,225168592.0,3152165632.0
1993-11-19,177.6,182.3,174.3,179.8,110090704.0,1539762944.0
1993-11-22,194.1,201.5,187.9,194.9,287826752.0,4013675264.0
1993-11-23,204.3,210.0,198.0,201.6,262091792.0,3838615808.0
1993-11-24,206.2,214.1,199.4,206.7,266543568.0,3806659072.0
1993-11-25,214.2,224.5,210.9,217.8,293471424.0,4124533248.0
1993-11-26,224.6,228.7,213.6,216.9,235256336.0,4018347008.0
1993-11-29,214.9,219.2,209.7,215.3,161407536.0,2356609024.0
1993-11-30,216.7,223.2,213.1,217.2,193715344.0,2792005376.0
1993-12-01,216.5,218.9,208.6,210.7,165945248.0,2381759744.0
1993-12-02,203.8,206.7,199.9,203.0,115865720.0,1592356480.0
1993-12-03,197.2,201.1,193.6,198.2,108968288.0,1595379200.0
1993-12-06,208.0,215.7,204.5,212.0,253237616.0,3529519872.0
1993-12-07,224.8,234.3,219.0,226.0,283448224.0,4524281856.0
1993-12-08,233.3,237.7,223.1,228.8,237744464.0,3798215680.0
1993-12-09,226.4,228.6,216.2,220.7,158233648.0,2512411904.0
1993-12-10,222.6,228.8,216.9,224.2,204992608.0,2975299328.0
1993-12-13,229.8,232.7,217.0,220.0,212053184.0,3048559360.0
1993-12-14,214.4,220.5,209.0,213.0,135108576.0,2015453568.0
1993-12-15,209.2,214.2,203.6,212.8,140132128.0,1941392000.0
1993-12-16,212.0,214.5,203.8,205.1,153202544.0,2275269632.0
1993-12-17,197.1,202.2,194.3,197.4,118800912.0,1624230784.0
1993-12-20,191.6,194.9,171.4,181.3,220553760.0,2736630272.0
1993-12-21,180.1,190.5,175.6,189.3,163545104.0,2022444800.0
1993-12-22,192.3,200.6,185.4,188.7,231210752.0,3255035136.0
1993-12-23,181.3,186.2,178.9,181.5,110356088.0,1317435392.0
1993-12-24,177.2,182.2,173.2,179.0,132080176.0,1483076608.0
1993-12-27,177.9,181.0,174.3,177.7,148016800.0,1725092480.0
1993-12-28,176.0,179.3,171.3,174.3,147088176.0,2073370368.0
1993-12-29,167.7,169.6,162.8,164.3,96229336.0,1272740992.0
1993-12-30,163.9,167.9,161.9,164.6,98595808.0,1286438528.0
1993-12-31,161.1,163.4,157.9,160.3,88072064.0,1156048128.0
1994-01-03,160.1,162.0,156.3,158.2,125657544.0,1361544704.0
1994-01-04,152.6,154.7,149.5,150.8,84113112.0,941338688.0
1994-01-05,146.8,150.0,143.9,149.1,98642320.0,1142077952.0
1994-01-06,158.7,165.0,156.2,163.1,258806480.0,2676552192.0
1994-01-07,172.6,175.5,168.3,172.7,292803328.0,2928995328.0
1994-01-10,181.7,186.1,178.8,183.2,296426400.0,2962197248.0
1994-01-11,183.3,185.1,177.5,179.5,183251792.0,2072148736.0
1994-01-12,175.5,179.4,173.5,175.8,154525952.0,1613045376.0
1994-01-13,173.2,177.3,171.3,174.4,178082416.0,1624986368.0
1994-01-14,183.6,185.0,169.3,173.9,298251808.0,3098898688.0
1994-01-17,171.0,173.3,168.1,169.8,131754640.0,1323374080.0
1994-01-18,166.6,169.3,159.3,164.3,125569552.0,1400849152.0
1994-01-19,159.3,159.8,151.5,154.4,112880696.0,1108747392.0
1994-01-20,147.4,150.4,143.5,148.5,106836576.0,1050398912.0
1994-01-21,143.0,146.2,141.6,144.5,102474232.0,944504512.0
1994-01-24,144.7,147.2,142.4,145.0,144628544.0,1228264576.0
1994-01-25,141.5,142.8,136.9,137.8,155148288.0,1094695680.0
1994-01-26,141.2,143.1,130.8,132.1,104138528.0,859303936.0
1994-01-27,126.8,129.0,125.5,128.0,60547088.0,565585600.0
1994-01-28,128.2,128.8,122.7,124.1,116829024.0,1128028032.0
1994-01-31,119.4,120.7,115.2,117.1,99731752.0,905624832.0
1994-02-01,112.4,116.3,110.8,112.7,85455664.0,766320448.0
1994-02-02,109.6,114.0,109.3,113.4,92578880.0,753712960.0
1994-02-03,120.1,125.9,119.2,124.1,209361776.0,1890749952.0
1994-02-04,139.7,145.3,137.9,144.1,296056224.0,2957853184.0
1994-02-14,150.8,153.0,138.9,140.6,197427968.0,2038418560.0
1994-02-15,136.0,139.2,132.7,136.6,114594576.0,1089679616.0
1994-02-16,133.7,135.5,131.2,132.3,104460256.0,927873344.0
1994-02-17,126.1,127.1,123.9,125.2,67186432.0,573544064.0
1994-02-18,118.7,120.4,117.5,119.1,54951920.0,506167520.0
1994-02-21,113.8,114.3,110.4,111.0,59671392.0,534334016.0
1994-02-22,115.0,122.7,114.2,118.1,171891008.0,1628717568.0
1994-02-23,115.5,116.5,112.4,113.9,86066248.0,777783680.0
1994-02-24,125.1,128.6,121.8,127.5,218764736.0,2218262272.0
1994-02-25,144.7,150.5,141.8,147.2,393572768.0,4128965888.0
1994-02-28,157.8,163.2,152.1,154.8,340588576.0,4124467200.0
1994-03-01,153.5,157.0,148.8,150.5,156980016.0,1718209152.0
1994-03-02,146.8,149.5,143.1,144.8,150345824.0,1637575936.0
1994-03-03,141.2,145.4,138.5,141.4,137863184.0,1447718656.0
1994-03-04,137.8,140.9,136.0,138.1,143872608.0,1510602240.0
1994-03-07,132.1,134.2,129.6,132.7,59909356.0,577548032.0
1994-03-08,135.0,138.4,131.1,134.7,187175136.0,2095126912.0
1994-03-09,143.2,149.6,139.8,145.7,283806016.0,3469210368.0
1994-03-10,153.8,158.7,142.3,145.6,315749088.0,4139772416.0
1994-03-11,161.9,174.4,158.1,169.2,353276928.0,4481475072.0
1994-03-14,200.0,209.2,191.9,202.8,565020992.0,6077166080.0
1994-03-15,216.8,221.9,203.1,208.6,490786208.0,4762252288.0
1994-03-16,212.2,224.1,208.7,219.2,388696864.0,4509180416.0
1994-03-17,225.0,229.1,213.0,217.2,355345280.0,3851750400.0
1994-03-18,220.5,226.7,213.0,218.5,326443616.0,3543453696.0
1994-03-21,212.8,216.6,204.8,207.1,232144240.0,2378112768.0
1994-03-22,198.6,205.0,196.2,202.9,146530368.0,1570504448.0
1994-03-23,197.5,201.3,190.2,193.9,220520304.0,2011976576.0
1994-03-24,204.4,212.6,197.3,201.7,300925120.0,3913414912.0
1994-03-25,202.4,207.4,194.6,199.2,260185312.0,2973859840.0
1994-03-28,192.5,198.5,186.8,192.8,221343600.0,2150003968.0
