date,close,open,high,low,volume,amount
2024-09-10,47576.5178417451,47576.5178417451,47576.5178417451,47576.5178417451,262159015.0,226408492.9619
2024-09-11,47022.28407349437,47576.5178417451,47576.5178417451,47022.28407349437,242264900.0,219755948.4114
2024-09-12,46770.01059771426,47022.28407349437,47022.28407349437,46770.01059771426,240084315.0,218571098.6973
2024-09-13,46214.94648313989,46770.01059771426,46770.01059771426,46214.94648313989,251270038.0,227818801.1493
2024-09-18,45741.20682270591,46214.94648313989,46214.94648313989,45741.20682270591,247817132.0,213090588.6447
2024-09-19,47638.53212041725,45741.20682270591,47638.53212041725,45741.20682270591,315208389.0,280536046.232
2024-09-20,47930.86174055681,47638.53212041725,47930.86174055681,47638.53212041725,285644627.0,255433329.8925
2024-09-23,48159.94992694586,47930.86174055681,48159.94992694586,47930.86174055681,257642154.0,235214505.8771
2024-09-24,53363.555779117945,48159.94992694586,53363.555779117945,48159.94992694586,477619545.0,442795296.8688
2024-09-25,58620.58066877803,53363.555779117945,58620.58066877803,53363.555779117945,568259816.0,516698093.5622
2024-09-26,65037.6600679736,58620.58066877803,65037.6600679736,58620.58066877803,576319261.0,524669070.8706
2024-09-27,74468.1497209812,65037.6600679736,74468.1497209812,65037.6600679736,492287163.0,480612559.5395
2024-09-30,97501.46746281946,74468.1497209812,97501.46746281946,74468.1497209812,1102337917.0,1167772549.9904
2024-10-08,125035.24728458212,97501.46746281946,125035.24728458212,97501.46746281946,1313460195.0,1510513250.8171
2024-10-09,125298.99123488809,125035.24728458212,125298.99123488809,125035.24728458212,992757256.0,1264311454.4295
2024-10-10,129578.64845996296,125298.99123488809,129578.64845996296,125298.99123488809,834500257.0,947788514.989
2024-10-11,124862.10773130039,129578.64845996296,129578.64845996296,124862.10773130039,606027433.0,664332794.4619
2024-10-14,129662.67453211834,124862.10773130039,129662.67453211834,124862.10773130039,631466859.0,701499242.5693
2024-10-15,127732.17564060842,129662.67453211834,129662.67453211834,127732.17564060842,566054558.0,619091471.8604
2024-10-16,126605.93770042973,127732.17564060842,127732.17564060842,126605.93770042973,515813997.0,533062408.932
2024-10-17,125785.91995455533,126605.93770042973,126605.93770042973,125785.91995455533,528611772.0,557347351.398
2024-10-18,134660.83784744638,125785.91995455533,134660.83784744638,125785.91995455533,693014623.0,827948922.1391
2024-10-21,141598.57863700986,134660.83784744638,141598.57863700986,134660.83784744638,668150299.0,855781454.0171
2024-10-22,143922.1307170907,141598.57863700986,143922.1307170907,141598.57863700986,574913781.0,698861461.3351
2024-10-23,146568.7236695123,143922.1307170907,146568.7236695123,143922.1307170907,650444128.0,760066419.5499
2024-10-24,145147.67621922083,146568.7236695123,146568.7236695123,145147.67621922083,519827074.0,585248946.9603
2024-10-25,148598.0009175428,145147.67621922083,148598.0009175428,145147.67621922083,595651707.0,677255321.3493
2024-10-28,153391.66734545355,148598.0009175428,153391.66734545355,148598.0009175428,672373131.0,717510218.0189
2024-10-29,153814.16496680758,153391.66734545355,153814.16496680758,153391.66734545355,725326154.0,806573822.2619
2024-10-30,154746.76873853168,153814.16496680758,154746.76873853168,153814.16496680758,669018090.0,730619786.7463
2024-10-31,160312.95195779845,154746.76873853168,160312.95195779845,154746.76873853168,784649094.0,864970968.9626
2024-11-01,158526.12772755767,160312.95195779845,160312.95195779845,158526.12772755767,852055320.0,878112793.9445
2024-11-04,160955.2680527814,158526.12772755767,160955.2680527814,158526.12772755767,665077454.0,692341763.2723
2024-11-05,170057.42863203594,160955.2680527814,170057.42863203594,160955.2680527814,821124902.0,929931429.3686
2024-11-06,176418.09828678984,170057.42863203594,176418.09828678984,170057.42863203594,895855930.0,1026807640.3578
2024-11-07,186005.94399545604,176418.09828678984,186005.94399545604,176418.09828678984,959556680.0,1048841306.1208
2024-11-08,191636.1664221444,186005.94399545604,191636.1664221444,186005.94399545604,964034562.0,1107932295.5714
2024-11-11,199076.38359586938,191636.1664221444,199076.38359586938,191636.1664221444,818025436.0,1024334899.5108
2024-11-12,199023.25013811118,199076.38359586938,199076.38359586938,199023.25013811118,817926524.0,1039600859.2871
2024-11-13,197314.08699472694,199023.25013811118,199023.25013811118,197314.08699472694,673662348.0,829435316.9894
2024-11-14,188298.29435430435,197314.08699472694,197314.08699472694,188298.29435430435,631556690.0,762884198.7843
2024-11-15,181509.91797783214,188298.29435430435,188298.29435430435,181509.91797783214,630285583.0,745937122.4283
2024-11-18,174693.2414749716,181509.91797783214,181509.91797783214,174693.2414749716,743950692.0,755809644.4633
2024-11-19,175413.58097348563,174693.2414749716,175413.58097348563,174693.2414749716,625024151.0,651575376.256
2024-11-20,175846.64307765572,175413.58097348563,175846.64307765572,175413.58097348563,566154289.0,627858323.157
2024-11-21,173462.73317877937,175846.64307765572,175846.64307765572,173462.73317877937,530331830.0,614517433.7001
2024-11-22,166058.07609798043,173462.73317877937,173462.73317877937,166058.07609798043,630687790.0,707626460.3318
2024-11-25,164596.21076907174,166058.07609798043,166058.07609798043,164596.21076907174,538897390.0,596502088.2924
2024-11-26,158594.65696018326,164596.21076907174,164596.21076907174,158594.65696018326,472219304.0,509490596.2608
2024-11-27,159053.97465439493,158594.65696018326,159053.97465439493,158594.65696018326,511202303.0,571617596.0235
