date,ts_code,industry_name,lead_stock,close_price,pct_change,industry_index,company_num,pct_change_stock,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260810,885743.TI,军民融合,北方长龙,113.23,1.88,1519.52,245,20.0,259.0,242.0,17.0,512660,军工ETF
20260810,885530.TI,黄金概念,鹏欣资源,7.9,2.71,3876.11,82,10.03,336.0,318.0,17.0,512400,有色ETF
20260810,885951.TI,预制菜,大东方,3.94,2.93,1016.59,101,10.06,57.0,46.0,10.0,510150,消费ETF
20260810,885876.TI,网红经济,品渥食品,24.7,2.12,1416.64,118,10.61,97.0,88.0,8.0,512980,传媒ETF
20260810,885928.TI,钠离子电池,圣阳股份,20.99,1.37,1260.43,143,10.01,309.0,304.0,5.0,516160,新能源ETF
20260810,885603.TI,网络游戏,儒意电影,9.93,1.14,1587.9,66,9.97,127.0,123.0,4.0,159869,游戏ETF
20260810,885462.TI,乳业,品渥食品,24.7,3.82,1966.11,35,10.61,22.0,18.0,4.0,510150,消费ETF
20260810,886076.TI,军工信息化,北方长龙,113.23,1.49,1623.01,113,20.0,85.0,81.0,3.0,512660,军工ETF
20260810,885947.TI,DRG/DIP,ST易联众,9.15,1.8,954.36,22,8.54,20.0,17.0,3.0,159929,医药ETF
20260810,885927.TI,CRO概念,近岸蛋白,54.9,2.39,993.26,76,17.51,268.0,264.0,3.0,510660,创新药ETF
20260810,885780.TI,啤酒概念,品渥食品,24.7,2.41,1505.68,29,10.61,20.0,17.0,3.0,512690,白酒ETF
20260810,885733.TI,航运概念,海通发展,12.68,1.96,1667.51,86,9.97,68.0,66.0,2.0,510300,沪深300ETF
20260810,885914.TI,煤炭概念,赤天化,3.67,1.82,2301.15,90,9.88,136.0,135.0,1.0,515220,煤炭ETF
20260810,885566.TI,大飞机,洪都航空,28.53,1.32,3630.76,153,9.98,187.0,187.0,0.0,512660,军工ETF
20260810,885497.TI,旅游概念,北京文化,4.7,1.79,2642.4,151,10.07,100.0,100.0,0.0,510150,消费ETF
20260810,885874.TI,云游戏,世纪华通,14.31,0.09,1506.79,27,3.92,53.0,55.0,-1.0,159869,游戏ETF
20260810,885819.TI,电力物联网,中电鑫龙,9.34,1.45,1982.19,85,10.01,60.0,63.0,-2.0,561380,电网设备ETF
20260810,886000.TI,一体化压铸,合力科技,12.62,0.93,1197.85,54,7.22,45.0,48.0,-3.0,515030,新能源车ETF
20260810,885864.TI,光刻胶,国风新材,9.53,1.05,4993.7,79,10.05,183.0,187.0,-3.0,588710,科创半导体设备ETF
20260810,885982.TI,华为欧拉,东土科技,20.28,-0.16,1409.52,47,5.57,40.0,47.0,-6.0,515230,软件ETF
20260810,885343.TI,稀土永磁,有研新材,52.03,1.12,3635.71,65,8.01,193.0,200.0,-6.0,512400,有色ETF
20260810,886054.TI,光刻机,华亚智能,74.25,0.17,2564.69,51,10.0,188.0,195.0,-7.0,588710,科创半导体设备ETF
20260810,885878.TI,HJT电池,华民股份,6.37,0.83,2966.15,67,10.02,103.0,110.0,-7.0,516290,光伏ETF
20260810,885775.TI,燃料电池,*ST动力,1.67,1.07,1971.81,213,10.6,310.0,318.0,-7.0,516160,新能源ETF
20260810,885884.TI,航空发动机,华中数控,28.67,1.64,3193.89,97,8.89,146.0,153.0,-7.0,512660,军工ETF
20260810,885866.TI,数字货币,仁东控股,10.49,0.09,1924.19,91,9.96,98.0,106.0,-8.0,515230,软件ETF
20260810,885999.TI,汽车热管理,锐新科技,17.35,0.47,1978.98,142,11.86,113.0,122.0,-9.0,515030,新能源车ETF
20260810,885456.TI,互联网金融,香飘飘,12.19,0.8,5802.56,215,10.02,188.0,199.0,-10.0,512880,证券ETF
20260810,886031.TI,ChatGPT概念,ST易联众,9.15,0.67,1769.94,139,8.54,237.0,250.0,-13.0,159381,创业板人工智能ETF
20260810,885919.TI,碳中和,蓝盾光电,22.81,1.63,1907.13,274,19.99,262.0,275.0,-13.0,516160,新能源ETF
20260810,886038.TI,超导概念,百利电气,6.63,1.0,2473.4,32,6.25,102.0,117.0,-14.0,561380,电网设备ETF
20260810,886051.TI,减肥药,百花医药,11.59,1.35,1456.21,66,9.96,156.0,173.0,-16.0,510660,创新药ETF
20260810,886008.TI,减速器,金道科技,20.89,0.5,1838.12,139,12.31,112.0,130.0,-17.0,562500,机器人ETF
20260810,886058.TI,华为昇腾,盛视科技,56.76,-0.15,1521.12,105,7.46,110.0,130.0,-19.0,515230,软件ETF
20260810,885923.TI,鸿蒙概念,圣阳股份,20.99,0.66,1758.32,259,10.01,261.0,280.0,-19.0,515230,软件ETF
20260810,885427.TI,高端装备,晶品特装,50.06,1.25,3268.02,389,12.9,569.0,590.0,-20.0,159638,高端装备ETF
20260810,885930.TI,工业母机,恒进感应,12.53,0.96,1931.98,115,10.49,198.0,219.0,-21.0,159638,高端装备ETF
20260810,885956.TI,智慧政务,中电鑫龙,9.34,0.57,1398.73,219,10.01,212.0,238.0,-25.0,515230,软件ETF
20260810,885936.TI,绿色电力,中能电气,7.63,1.67,1163.25,427,15.43,587.0,613.0,-25.0,516160,新能源ETF
20260810,885980.TI,华为鲲鹏,榕基软件,7.04,0.29,1344.5,175,10.0,191.0,219.0,-27.0,515230,软件ETF
20260810,885757.TI,区块链,榕基软件,7.04,0.85,1470.25,261,10.0,352.0,382.0,-29.0,515230,软件ETF
20260810,885934.TI,元宇宙,曼卡龙,12.93,0.47,1793.55,181,9.76,254.0,285.0,-30.0,159869,游戏ETF
20260810,885823.TI,氢能源,*ST动力,1.67,1.15,2620.92,400,10.6,613.0,645.0,-31.0,516160,新能源ETF
20260810,886032.TI,固态电池,圣阳股份,20.99,0.91,1416.11,296,10.01,737.0,770.0,-32.0,516160,新能源ETF
20260810,886004.TI,虚拟电厂,新中港,9.33,1.23,1523.31,157,10.02,211.0,245.0,-33.0,561380,电网设备ETF
20260810,886067.TI,低空经济,北方长龙,113.23,0.9,2045.69,498,20.0,652.0,691.0,-38.0,515030,新能源车ETF
20260810,885574.TI,卫星导航,北方长龙,113.23,0.52,4470.86,280,20.0,606.0,646.0,-39.0,515880,通信ETF
20260810,886015.TI,创新药,百普赛斯,77.7,1.23,1317.73,280,20.0,511.0,551.0,-39.0,510660,创新药ETF
20260810,885564.TI,无人机,北方长龙,113.23,0.98,2979.51,463,20.0,658.0,698.0,-40.0,512660,军工ETF
20260810,886021.TI,国企改革,海正生材,12.17,1.66,1403.19,2936,17.36,2183.0,2223.0,-40.0,510300,沪深300ETF
20260810,885700.TI,军工,北方长龙,113.23,1.34,2313.68,606,20.0,983.0,1026.0,-42.0,512660,军工ETF
20260810,886050.TI,算力租赁,莲花控股,10.88,0.26,1399.43,183,10.01,362.0,405.0,-43.0,515230,软件ETF
20260810,886041.TI,数据要素,贝瑞基因,9.99,0.87,1181.33,396,10.02,387.0,430.0,-43.0,515230,软件ETF
20260810,885425.TI,特高压,立新能源,14.48,1.4,4962.16,133,10.03,336.0,381.0,-45.0,561380,电网设备ETF
20260810,885908.TI,第三代半导体,盛美上海,323.02,0.28,2530.62,181,12.16,686.0,733.0,-47.0,512480,半导体ETF
20260810,886006.TI,钙钛矿电池,亚玛顿,16.87,0.49,1084.57,91,7.59,181.0,228.0,-47.0,516290,光伏ETF
