date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20260915,半导体,1.34,2631.15,44.60543488,2.33,42.138304,2.46713088,1,512480,半导体ETF
20260915,小金属,0.74,3741.83,13.32613808,5.12,9.17778096,4.14835712,8,512400,有色ETF
20260915,风电设备,4.2,1269.43,11.5680928,8.01,8.73108624,2.83700656,12,516160,新能源ETF
20260915,机器人,-0.86,8902.76,-0.87504304,-1.78,-0.56507792,-0.30996512,45,562500,机器人ETF
20260915,房地产,-1.93,1904.33,-1.08446256,-1.07,-0.81137488,-0.27308768,20,510300,沪深300ETF
20260915,医药商业,-2.02,1078.11,-1.10844628,-4.91,-0.17777236,-0.93067392,21,159929,医药ETF
20260915,医疗服务,-1.42,1378.88,-2.8111592,-1.44,-1.3103616,-1.5007976,2,510660,创新药ETF
20260915,贵金属,-0.83,2607.42,-3.5979424,-3.26,-1.30101872,-2.29692368,13,512400,有色ETF
20260915,医疗器械,-1.48,883.11,-3.80954336,-3.01,-0.80601456,-3.0035288,16,159929,医药ETF
20260915,汽车零部件,-1.88,41472.16,-4.76366768,-1.27,-0.18487216,-4.57879552,32,515030,新能源车ETF
20260915,光伏设备,-1.44,1069.99,-5.27140768,-3.77,-1.372848,-3.89855968,38,516290,光伏ETF
20260915,能源金属,-1.37,728.53,-5.71153792,-10.5,-2.66362704,-3.04791088,41,512400,有色ETF
20260915,生物制品,-1.69,956.66,-6.40838592,-7.94,-2.88944272,-3.5189432,47,510660,创新药ETF
20260915,食品饮料,-1.76,25338.62,-8.30348112,-4.47,-3.5070688,-4.79641232,8,510150,消费ETF
20260915,软件开发,-1.37,1031.45,-8.44974944,-2.45,-3.714264,-4.73548544,10,515230,软件ETF
20260915,化学制药,-1.59,34526.74,-8.9333728,-3.92,-2.96937152,-5.96400128,12,159929,医药ETF
20260915,有色金属,-0.63,26704.13,-12.33382144,-1.58,-4.94976,-7.38406144,25,512400,有色ETF
20260915,公用事业,-1.27,9543.4,-13.32296112,-3.03,-1.45316528,-11.86979584,27,561380,电网设备ETF
20260915,电网设备,-1.51,35059.24,-15.2279784,-4.34,-6.94137872,-8.28659968,29,561380,电网设备ETF
20260915,通信设备,-0.83,23895.22,-16.42176512,-1.39,6.91688448,-23.3386496,33,515880,通信ETF
20260915,银行,-1.26,4380.92,-17.07262208,-6.9,-3.43402496,-13.63859712,35,512800,银行ETF
20260915,电池,0.38,1266.99,-19.94432512,-3.66,-3.72897792,-16.2153472,38,516160,新能源ETF
20260915,锂电池,0.18,16965.15,-20.14601728,-5.9,-4.7364992,-15.40951808,39,516160,新能源ETF
