date,open,close,high,low,volume
2025-12-22,33.03,33.35,33.58,32.72,12711.54
2025-12-23,33.18,33.6,33.99,33.05,11742.91
2025-12-24,33.32,36.12,36.71,33.32,40733.42
2025-12-25,36.19,36.63,37.03,35.86,32488.84
2025-12-26,36.46,35.53,36.81,35.19,25132.44
2025-12-29,35.53,35.9,36.33,35.37,18415.92
2025-12-30,35.4,36.33,36.71,35.4,28767.88
2025-12-31,36.71,36.46,36.89,35.99,17065.59
2026-01-05,36.63,36.23,36.63,35.75,22546.74
2026-01-06,36.63,36.4,36.83,36.0,16475.93
2026-01-07,36.41,36.33,36.63,35.86,12638.89
2026-01-08,36.73,36.63,36.88,36.04,17006.33
2026-01-09,36.26,37.18,37.71,36.26,24869.72
2026-01-12,37.33,37.25,37.62,36.69,23055.62
2026-01-13,37.27,37.14,38.32,37.13,32466.56
2026-01-14,37.18,37.51,38.62,36.95,29850.0
2026-01-15,37.0,38.61,39.21,37.0,32756.44
2026-01-16,39.38,39.01,39.8,38.23,35964.66
2026-01-19,38.8,39.31,40.31,38.8,27019.49
2026-01-20,39.26,37.57,39.68,37.22,41139.79
2026-01-21,37.45,37.56,37.94,36.78,41404.12
2026-01-22,37.83,37.02,38.4,36.43,31939.56
2026-01-23,37.07,37.51,37.82,36.58,33005.62
2026-01-26,37.81,35.51,38.04,35.05,34203.59
2026-01-27,35.51,35.46,35.81,34.42,18664.62
2026-01-28,35.59,34.72,35.59,34.45,16195.28
2026-01-29,34.75,33.7,34.97,33.6,20769.74
2026-01-30,33.7,34.21,34.21,32.92,18155.97
2026-02-02,33.91,33.77,35.31,33.76,29857.78
2026-02-03,34.3,34.55,34.55,33.45,19028.41
2026-02-04,35.64,34.32,35.93,34.22,28715.54
2026-02-05,34.39,33.78,34.82,33.51,18675.9
2026-02-06,33.45,34.37,34.82,33.36,25176.12
2026-02-09,34.78,34.42,34.99,34.28,17461.45
2026-02-10,34.44,34.14,34.81,34.12,15500.8
2026-02-11,34.19,33.16,34.24,32.91,40933.67
2026-02-12,33.14,34.04,34.39,33.05,22331.02
2026-02-13,33.94,34.14,34.79,33.82,24585.53
2026-02-24,34.6,33.29,35.03,33.1,31527.22
2026-02-25,33.35,33.13,33.49,32.92,26592.61
2026-02-26,33.2,33.51,33.63,33.01,24155.77
2026-02-27,33.81,32.85,33.81,32.6,38376.55
2026-03-02,32.39,31.89,33.02,31.83,33633.79
2026-03-03,31.99,30.67,32.13,30.66,28666.45
2026-03-04,30.79,30.2,30.91,30.11,19518.1
2026-03-05,30.59,30.42,31.05,30.3,13790.42
2026-03-06,30.3,30.68,30.93,30.06,12991.56
2026-03-09,30.52,30.31,30.52,29.51,23239.32
2026-03-10,30.66,31.28,31.35,30.55,17241.59
2026-03-11,31.36,30.54,31.57,30.52,15376.98
2026-03-12,30.74,29.87,30.74,29.82,12857.94
2026-03-13,29.91,29.48,30.27,29.48,17027.44
2026-03-16,29.55,29.71,29.78,29.17,12677.73
2026-03-17,29.95,29.11,29.95,29.08,11366.54
2026-03-18,29.12,29.11,29.39,28.73,12960.43
2026-03-19,28.88,28.06,28.94,27.94,21074.46
2026-03-20,28.21,27.08,28.47,26.91,15601.54
2026-03-23,26.69,25.62,27.27,25.38,27801.08
2026-03-24,25.88,26.5,26.53,25.58,18369.02
2026-03-25,26.57,26.94,27.12,26.38,14690.32
2026-03-26,26.96,26.62,27.52,26.59,22615.82
2026-03-27,26.48,27.05,27.13,25.98,15050.49
2026-03-30,26.78,26.92,27.04,26.43,12172.14
2026-03-31,26.94,26.68,27.34,26.59,15929.56
2026-04-01,27.18,27.57,27.67,26.89,18303.13
2026-04-02,27.75,26.78,27.75,26.65,13416.44
2026-04-03,27.13,26.49,27.13,26.32,11368.08
2026-04-07,26.45,26.72,26.99,26.3,11729.6
2026-04-08,27.2,28.31,28.35,27.2,17731.12
2026-04-09,27.88,27.66,28.21,27.58,13692.95
2026-04-10,27.92,28.03,28.56,27.82,16341.69
2026-04-13,27.75,27.82,28.03,27.65,9548.32
2026-04-14,28.24,28.23,28.29,27.87,11043.14
2026-04-15,29.27,29.01,29.61,28.67,33764.65
2026-04-16,29.17,29.76,30.0,29.1,27309.61
2026-04-17,29.74,30.01,30.27,29.46,23275.71
2026-04-20,30.01,29.64,30.02,29.35,28711.88
2026-04-21,29.77,29.4,29.77,28.91,22102.92
2026-04-22,29.33,29.91,30.24,29.05,24540.69
2026-04-23,29.76,29.08,30.03,28.82,24028.41
2026-04-24,29.17,29.53,29.78,28.64,21436.01
2026-04-27,29.36,30.0,30.14,29.31,17910.89
2026-04-28,29.77,29.37,30.44,29.34,20522.49
2026-04-29,29.63,29.63,29.81,29.19,20464.18
2026-04-30,29.63,30.2,30.78,29.56,23631.62
2026-05-06,30.36,30.62,30.94,30.16,26399.22
2026-05-07,30.55,31.59,31.72,30.55,30260.86
2026-05-08,31.69,32.16,32.73,31.55,40777.58
2026-05-11,32.34,32.16,32.54,31.83,31853.21
2026-05-12,32.1,31.7,32.35,31.49,22711.37
2026-05-13,31.52,31.71,31.84,31.36,19906.97
2026-05-14,31.65,31.02,32.02,31.02,24145.13
2026-05-15,31.4,32.46,33.5,31.37,50750.73
2026-05-18,32.34,33.43,33.59,32.15,47219.43
2026-05-19,33.83,34.19,34.79,33.35,55112.9
2026-05-20,33.81,34.81,35.22,33.6,54110.65
2026-05-21,34.91,32.99,35.71,32.95,94030.09
2026-05-22,33.73,33.82,34.2,32.99,52009.92
2026-05-25,33.7,33.65,34.13,33.16,46083.11
2026-05-26,33.48,33.23,34.23,32.7,44998.8
2026-05-27,32.85,32.05,33.53,31.93,37582.9
2026-05-28,31.34,31.93,32.38,30.76,34265.38
2026-05-29,31.65,29.73,32.03,29.46,35897.76
2026-06-01,29.35,29.96,30.34,28.95,28080.26
2026-06-02,29.8,30.81,31.26,29.03,37238.38
2026-06-03,30.76,30.28,31.44,29.92,30992.54
2026-06-04,29.8,30.24,31.65,29.79,32571.57
2026-06-05,30.1,31.55,32.53,28.79,45858.51
2026-06-08,30.79,32.48,32.85,30.46,57074.28
2026-06-09,32.1,32.87,33.1,31.5,42393.16
2026-06-10,32.41,30.86,33.48,30.15,46308.65
2026-06-11,30.3,29.91,30.89,29.16,46035.17
2026-06-12,30.2,29.86,31.15,29.45,49432.79
2026-06-15,30.29,30.25,30.38,29.57,32465.27
2026-06-16,30.31,31.3,31.74,29.69,36132.26
2026-06-17,31.15,30.8,31.28,30.51,28134.6
2026-06-18,30.65,31.51,32.0,30.33,36687.53
2026-06-22,31.48,29.45,31.48,28.48,48634.65
2026-06-23,29.3,29.98,30.58,28.8,34586.25
2026-06-24,30.03,29.06,30.03,28.2,32708.4
2026-06-25,29.09,28.0,29.4,27.73,33004.53
2026-06-26,27.43,26.71,27.99,26.63,30046.4
2026-06-29,26.66,26.3,27.03,25.02,32296.26
2026-06-30,26.18,27.8,27.85,26.11,26908.1
2026-07-01,27.53,28.28,29.0,27.53,31708.83
2026-07-02,28.82,29.04,30.21,28.31,51172.12
2026-07-03,29.11,31.65,32.71,29.0,74725.91
2026-07-06,31.51,29.53,31.56,29.44,48484.62
2026-07-07,29.48,28.1,30.66,28.0,43555.07
2026-07-08,28.26,26.18,28.31,26.11,41144.27
2026-07-09,26.47,25.84,26.47,24.64,41522.89
2026-07-10,25.8,25.93,27.3,25.8,40209.57
2026-07-13,25.67,23.53,25.75,23.4,41625.15
2026-07-14,23.5,23.78,24.15,22.73,32792.76
2026-07-15,23.84,23.95,24.34,23.33,27220.02
2026-07-16,25.91,26.82,28.26,25.22,102098.26
2026-07-17,27.42,23.98,27.42,23.77,78142.73
2026-07-20,24.01,23.5,24.99,22.9,70561.23
2026-07-21,23.56,24.41,25.2,21.84,60991.85
2026-07-22,24.0,22.93,24.29,22.9,44725.18
2026-07-23,22.96,23.23,23.3,22.41,30048.04
2026-07-24,22.54,22.14,22.9,22.0,26369.85
2026-07-27,22.31,22.97,23.15,22.1,25406.0
2026-07-28,22.5,22.89,23.57,22.5,25871.18
2026-07-29,22.95,23.16,23.19,22.44,33725.88
2026-07-30,22.78,21.87,22.99,21.87,37634.26
2026-07-31,22.89,24.2,24.39,22.89,71449.56
2026-08-03,24.6,24.7,25.79,24.4,57119.36
2026-08-04,24.97,25.24,25.31,24.37,40103.1
2026-08-05,25.2,25.61,25.85,25.03,34389.95
2026-08-06,25.32,25.81,26.28,25.32,33811.84
2026-08-07,25.71,26.62,26.64,25.48,39395.49
2026-08-10,26.6,26.22,27.02,25.9,28536.35
2026-08-11,26.2,26.14,26.54,25.48,29074.09
2026-08-12,26.01,26.51,26.58,25.88,25951.25
2026-08-13,26.9,26.1,27.07,26.1,24331.65
2026-08-14,26.08,26.37,26.64,26.0,24945.89
2026-08-17,26.39,27.18,27.25,26.28,24778.94
2026-08-18,27.42,27.8,27.85,26.95,39635.7
2026-08-19,27.0,25.09,27.08,24.96,39303.25
